#IMAGE
2 LARGE_TARGETS
779291116 577.683 416.551 577.683 416.551 3.47 2.86
779291133 576.087 415.995 576.087 415.995 3.47 2.87
779291150 577.551 414.984 577.551 414.984 3.47 2.87
779291166 574.819 416.093 574.819 416.093 3.47 2.86
779291183 409.428 578.926 409.428 578.926 3.46 2.86
779291200 191.554 839.423 191.554 839.423 3.48 2.87
779291767 445.914 707.929 445.914 707.929 3.72 3.13
779291783 483.165 588.812 483.165 588.812 3.7 3.12
779291800 553.745 490.028 553.745 490.028 3.75 3.12
779291817 561.083 427.555 561.083 427.555 3.76 3.12
779291833 556.41 425.616 556.41 425.616 3.78 3.13
779291850 554.052 419.185 554.052 419.185 3.8 3.12
779291867 550.289 412.912 550.289 412.912 3.81 3.13
779291883 556.456 409.526 556.456 409.526 3.83 3.14
779291917 548.77 409.39 548.77 409.39 3.85 3.15
779291933 549.268 409.603 549.268 409.603 3.87 3.16
779291950 552.637 406.884 552.637 406.884 3.89 3.18
779291967 545.911 406.172 545.911 406.172 3.9 3.19
779291983 548.728 403.276 548.728 403.276 3.92 3.2
779292000 549.993 404.247 549.993 404.247 3.94 3.21
779292017 545.915 401.057 545.915 401.057 3.95 3.22
779292033 543.486 400.278 543.486 400.278 3.96 3.22
779292050 544.355 397.505 544.355 397.505 3.95 3.22
779292068 545.23 398.715 545.23 398.715 3.95 3.23
779292083 545.547 399.411 545.547 399.411 3.95 3.23
779292100 546.19 398.369 546.19 398.369 3.95 3.23
779292117 547.157 398.636 547.157 398.636 3.94 3.23
779292133 546.876 400.132 546.876 400.132 3.93 3.2
779292167 547.139 399.539 547.139 399.539 3.91 3.2
779292183 545.174 400.324 545.174 400.324 3.89 3.19
779292200 547.204 399.446 547.204 399.446 3.87 3.17
779292234 545.884 400.7 545.884 400.7 3.85 3.16
779292250 547.496 399.983 547.496 399.983 3.84 3.15
779292267 548.032 401.477 548.032 401.477 3.83 3.14
779292284 548.548 401.765 548.548 401.765 3.82 3.14
779292300 547.392 402.405 547.392 402.405 3.82 3.15
779292317 545.296 402.373 545.296 402.373 3.81 3.14
779292334 545.074 402.177 545.074 402.177 3.81 3.15
779292350 544.674 401.07 544.674 401.07 3.8 3.14
779292367 543.541 398.876 543.541 398.876 3.79 3.14
779292384 546.441 397.447 546.441 397.447 3.79 3.13
779292400 544.274 395.119 544.274 395.119 3.78 3.12
779292417 543.755 394.874 543.755 394.874 3.78 3.12
779292434 543.63 395.762 543.63 395.762 3.78 3.12
779292467 544.699 395.529 544.699 395.529 3.78 3.12
779292484 542.037 393.622 542.037 393.622 3.77 3.12
779292501 542.387 392.621 542.387 392.621 3.77 3.12
779292517 543.047 392.593 543.047 392.593 3.77 3.12
779292534 544.871 390.265 544.871 390.265 3.76 3.13
779292551 543.057 390.325 543.057 390.325 3.76 3.13
779292567 543.613 392.647 543.613 392.647 3.75 3.13
779292584 543.605 392.392 543.605 392.392 3.75 3.13
779292600 544.284 393.912 544.284 393.912 3.75 3.13
779292634 545.518 393.292 545.518 393.292 3.77 3.13
779292651 544.214 392.372 544.214 392.372 3.77 3.14
779292700 603.772 392.368 603.772 392.368 3.78 3.13
779292734 652.035 392.767 652.035 392.767 3.78 3.15
779292751 665.824 393.242 665.824 393.242 3.79 3.15
779292767 671.461 392.338 671.461 392.338 3.79 3.15
779292784 672.657 393.577 672.657 393.577 3.8 3.17
779292801 671.425 394.385 671.425 394.385 3.8 3.18
779292817 670.378 393.868 670.378 393.868 3.8 3.19
779292834 671.905 394.584 671.905 394.584 3.81 3.2
779292851 666.913 394.536 666.913 394.536 3.81 3.2
779292867 671.376 397.257 671.376 397.257 3.81 3.2
779292884 669.977 396.327 669.977 396.327 3.81 3.2
779292901 670.34 397.345 670.34 397.345 3.82 3.21
779292917 669.826 398.114 669.826 398.114 3.82 3.21
779292951 669.793 398.981 669.793 398.981 3.83 3.21
779292984 667.594 400.583 667.594 400.583 3.83 3.21
779293001 668.235 402.226 668.235 402.226 3.84 3.2
779293034 667.646 402.48 667.646 402.48 3.84 3.2
779293051 665.242 403.027 665.242 403.027 3.86 3.2
779293068 667.954 404.227 667.954 404.227 3.85 3.2
779293084 665.546 405.757 665.546 405.757 3.86 3.19
779293101 665.572 405.799 665.572 405.799 3.87 3.18
779293117 665.551 408.129 665.551 408.129 3.86 3.18
779293134 664.764 409.686 664.764 409.686 3.86 3.18
779293151 666.234 411.779 666.234 411.779 3.87 3.18
779293168 665.985 412.446 665.985 412.446 3.88 3.18
779293184 664.579 412.842 664.579 412.842 3.88 3.18
779293201 666.338 413.969 666.338 413.969 3.89 3.18
779293251 664.023 414.159 664.023 414.159 3.89 3.18
779293268 665.508 416.018 665.508 416.018 3.9 3.19
779293284 663.81 416.805 663.81 416.805 3.91 3.19
779293318 665.395 418.968 665.395 418.968 3.92 3.2
0-test-01-different1 1
779294284 626.744 414.717 626.744 414.717 3.84 3.08
779294301 630.209 416.604 630.209 416.604 3.84 3.08
779294319 631.576 418.785 631.576 418.785 3.85 3.08
779294368 631.947 412.795 631.947 412.795 3.84 3.08
779294401 630.888 411.508 630.888 411.508 3.83 3.07
779294434 633.709 410.909 633.709 410.909 3.83 3.07
779294451 631.892 409.829 631.892 409.829 3.83 3.08
779294468 632.695 408.991 632.695 408.991 3.83 3.07
779294484 632.186 407.396 632.186 407.396 3.83 3.07
779294501 627.935 404.498 627.935 404.498 3.83 3.07
779294518 525.559 320.699 525.559 320.699 3.82 3.07
779294534 491.524 306.004 491.524 306.004 3.82 3.08
779294551 486.23 304.642 486.23 304.642 3.81 3.09
779294568 488.764 304.192 488.764 304.192 3.81 3.08
779294584 487.321 301.161 487.321 301.161 3.81 3.09
779294601 489.078 298.86 489.078 298.86 3.81 3.09
779294618 488.849 299.111 488.849 299.111 3.81 3.1
779294634 487.886 297.969 487.886 297.969 3.81 3.1
779294651 488.291 297.72 488.291 297.72 3.8 3.1
779294701 484.67 296.677 484.67 296.677 3.8 3.1
779294718 486.126 294.623 486.126 294.623 3.8 3.1
779294735 470.285 278.302 470.285 278.302 3.8 3.1
779294751 452.334 260.032 452.334 260.032 3.8 3.1
779294768 461.455 244.806 461.455 244.806 3.79 3.09
779294785 449.871 240.647 449.871 240.647 3.79 3.09
779294801 443.158 245.6 443.158 245.6 3.78 3.1
779294818 440.256 244.418 440.256 244.418 3.79 3.1
779294835 436.107 241.193 436.107 241.193 3.78 3.09
779294851 437.305 237.455 437.305 237.455 3.78 3.09
779294868 437.545 241.083 437.545 241.083 3.77 3.09
779294885 434.907 237.937 434.907 237.937 3.76 3.09
779294918 433.62 235.449 433.62 235.449 3.75 3.08
779294935 433.508 233.216 433.508 233.216 3.74 3.08
779294951 434.74 231.275 434.74 231.275 3.73 3.08
779294968 433.237 232.399 433.237 232.399 3.72 3.08
779295001 434.617 234.149 434.617 234.149 3.72 3.08
779295018 433 233.578 433 233.578 3.71 3.08
779295035 433.71 233.363 433.71 233.363 3.71 3.09
779295051 433.86 232.049 433.86 232.049 3.71 3.1
779295068 555.49 260.665 555.49 260.665 3.71 3.1
779295085 731.432 364.277 731.432 364.277 3.7 3.09
779295101 907.922 486.649 907.922 486.649 3.7 3.11
779295118 928.172 512.697 928.172 512.697 3.69 3.11
779295151 945.761 516.17 945.761 516.17 3.69 3.13
779295168 950.987 517.099 950.987 517.099 3.69 3.14
779295185 950.159 517.93 950.159 517.93 3.69 3.14
779295201 948.741 520.798 948.741 520.798 3.69 3.16
779295218 953.648 520.876 953.648 520.876 3.69 3.16
779295251 951.504 525.422 951.504 525.422 3.7 3.17
779295268 953.516 525.984 953.516 525.984 3.7 3.18
779295301 954.424 527.83 954.424 527.83 3.72 3.18
779295318 953.646 528.06 953.646 528.06 3.74 3.18
779295335 956.254 530.136 956.254 530.136 3.75 3.19
779295351 913.488 560.242 913.488 560.242 3.76 3.19
779295368 884.003 552.554 884.003 552.554 3.76 3.18
779295385 886.706 562.007 886.706 562.007 3.77 3.17
779295402 879.378 567.416 879.378 567.416 3.78 3.16
779295418 876.521 573.012 876.521 573.012 3.79 3.16
779295452 874.6 574.409 874.6 574.409 3.78 3.15
779295468 872.68 577.316 872.68 577.316 3.78 3.14
779295502 873.731 577.79 873.731 577.79 3.77 3.15
779295518 874.668 580.997 874.668 580.997 3.77 3.16
779295552 873.038 582.371 873.038 582.371 3.77 3.16
779295568 872.455 583.785 872.455 583.785 3.76 3.16
779295585 714.887 558.482 714.887 558.482 3.75 3.15
779295602 577.209 358.97 577.209 358.97 3.73 3.13
779295618 456.43 262.719 456.43 262.719 3.74 3.11
779295635 460.144 252.522 460.144 252.522 3.73 3.1
779295652 461.868 252.72 461.868 252.72 3.73 3.09
779295668 463.604 250.686 463.604 250.686 3.71 3.08
779295685 464.01 251.823 464.01 251.823 3.71 3.07
779295702 463.353 252.224 463.353 252.224 3.7 3.06
779295718 463.854 251.852 463.854 251.852 3.69 3.06
779295735 463.817 251.93 463.817 251.93 3.68 3.06
779295752 463.884 250.746 463.884 250.746 3.66 3.05
779295768 463.827 247.834 463.827 247.834 3.65 3.06
779295785 463.6 246.524 463.6 246.524 3.64 3.06
779295802 463.807 243.56 463.807 243.56 3.63 3.05
779295818 463.511 242.245 463.511 242.245 3.61 3.05
779295835 463.647 239.621 463.647 239.621 3.6 3.05
779295852 463.691 240.082 463.691 240.082 3.6 3.05
779295868 463.62 238.333 463.62 238.333 3.59 3.05
779295885 463.46 237.052 463.46 237.052 3.59 3.05
779295902 463.723 235.266 463.723 235.266 3.59 3.04
779295918 463.757 233.691 463.757 233.691 3.59 3.03
779295935 463.731 232.52 463.731 232.52 3.59 3.03
779295952 464.34 233.948 464.34 233.948 3.6 3.04
779295968 464.544 233.172 464.544 233.172 3.61 3.03
779295985 463.612 233.443 463.612 233.443 3.6 3.03
779296018 463.166 233.654 463.166 233.654 3.61 3.03
779296035 461.734 234.809 461.734 234.809 3.61 3.03
779296052 461.732 234.801 461.732 234.801 3.62 3.03
779296068 461.407 234.666 461.407 234.666 3.62 3.03
779296085 460.874 235.792 460.874 235.792 3.62 3.04
779296118 460.207 237.452 460.207 237.452 3.62 3.04
779296135 460.055 238.734 460.055 238.734 3.62 3.05
779296152 464.989 240.923 464.989 240.923 3.62 3.04
779296169 576.782 246.675 576.782 246.675 3.61 3.04
779296185 635.764 297.124 635.764 297.124 3.62 3.05
779296219 639.857 308.596 639.857 308.596 3.63 3.07
779296235 643.685 304.165 643.685 304.165 3.65 3.08
779296252 644.436 310.949 644.436 310.949 3.65 3.08
779296269 647.019 312.01 647.019 312.01 3.67 3.09
779296285 647.982 309.441 647.982 309.441 3.68 3.09
779296319 647.962 303.251 647.962 303.251 3.68 3.09
779296335 788.092 436.712 788.092 436.712 3.69 3.09
779296352 839.371 542.171 839.371 542.171 3.69 3.11
779296369 855.382 533.038 855.382 533.038 3.68 3.12
779296402 855.968 542.558 855.968 542.558 3.68 3.13
779296419 856.262 547.17 856.262 547.17 3.68 3.13
779296435 856.95 549.987 856.95 549.987 3.66 3.14
779296452 858.831 554.092 858.831 554.092 3.66 3.14
779296469 859.312 555.779 859.312 555.779 3.65 3.13
779296485 858.817 555.937 858.817 555.937 3.65 3.12
779296502 858.189 555.387 858.189 555.387 3.66 3.12
779296519 858.733 555.662 858.733 555.662 3.66 3.11
779296535 859.434 555.656 859.434 555.656 3.67 3.12
779296569 859.916 554.536 859.916 554.536 3.69 3.11
779296585 859.732 556.449 859.732 556.449 3.69 3.11
779296602 859.977 555.52 859.977 555.52 3.7 3.1
779296619 859.97 557.29 859.97 557.29 3.71 3.09
779296652 860.888 558.168 860.888 558.168 3.71 3.1
779296669 862.824 558.83 862.824 558.83 3.71 3.11
779296685 863.947 558.209 863.947 558.209 3.72 3.11
779296719 863.435 557.03 863.435 557.03 3.73 3.11
779296735 863.653 558.085 863.653 558.085 3.73 3.11
779296752 865.859 557.913 865.859 557.913 3.73 3.11
779296769 865.459 559.005 865.459 559.005 3.73 3.11
779296785 864.992 561.022 864.992 561.022 3.74 3.11
779296802 865.391 561.096 865.391 561.096 3.74 3.11
779296819 866.613 562.025 866.613 562.025 3.74 3.11
779296835 867.727 562.436 867.727 562.436 3.75 3.11
779296852 867.646 562.862 867.646 562.862 3.76 3.12
779296869 866.541 563.355 866.541 563.355 3.77 3.13
779296886 866.11 563.903 866.11 563.903 3.78 3.13
779296919 866.245 565.762 866.245 565.762 3.78 3.12
779296936 868.011 563.889 868.011 563.889 0 3.12
779296969 865.874 563.466 865.874 563.466 0 3.13
779296986 866.231 563.927 866.231 563.927 0 3.13
779297002 867.062 562.056 867.062 562.056 0 3.13
779297019 867.108 558.461 867.108 558.461 0 3.12
779297036 865.007 558.289 865.007 558.289 0 3.12
779297052 863.518 556.643 863.518 556.643 0 3.12
779297069 862.666 555.376 862.666 555.376 0 3.12
779297086 861.43 551.715 861.43 551.715 0 3.12
779297119 857.949 550.349 857.949 550.349 0 3.11
779297136 856.811 550.616 856.811 550.616 3.78 3.11
779297319 613.001 492.617 613.001 492.617 0 3.18
779297336 491.046 383.457 491.046 383.457 3.77 3.15
779297352 485.153 317.779 485.153 317.779 3.77 3.12
779297369 479.227 304.089 479.227 304.089 3.76 3.11
779297386 478.152 305.573 478.152 305.573 3.75 3.1
779297436 476.055 301.21 476.055 301.21 3.74 3.09
779297452 474.623 301.538 474.623 301.538 3.73 3.09
779297469 472.517 301.519 472.517 301.519 3.71 3.09
779297486 471.965 300.033 471.965 300.033 3.71 3.08
779297519 470.617 297.23 470.617 297.23 3.7 3.08
779297536 469.338 297.012 469.338 297.012 3.7 3.07
779297552 468.2 295.87 468.2 295.87 3.7 3.08
779297569 466.297 294.947 466.297 294.947 3.71 3.08
779297586 465.012 293.569 465.012 293.569 3.71 3.08
779297602 463.326 293.516 463.326 293.516 3.71 3.08
779297619 461.622 291.713 461.622 291.713 3.72 3.08
779297636 461.233 291.538 461.233 291.538 3.72 3.08
779297653 460.306 291.121 460.306 291.121 3.71 3.09
779297669 458.967 290.492 458.967 290.492 3.7 3.09
779297686 458.803 291.322 458.803 291.322 3.69 3.09
779297719 459.48 292.476 459.48 292.476 3.69 3.09
779297736 459.122 292.219 459.122 292.219 3.68 3.09
779297753 459.815 292.674 459.815 292.674 3.68 3.1
779297786 459.154 293.326 459.154 293.326 3.68 3.1
779297819 461.169 294.108 461.169 294.108 3.68 3.1
779297836 504.871 308.347 504.871 308.347 3.68 3.1
779297853 509.791 322.7 509.791 322.7 3.68 3.11
779297869 522.795 329.142 522.795 329.142 3.68 3.1
779297886 521.868 338.964 521.868 338.964 3.69 3.1
779297903 525.986 342.372 525.986 342.372 3.69 3.1
779297919 530.536 342.595 530.536 342.595 3.7 3.1
779297953 531.858 347.512 531.858 347.512 3.71 3.09
779297969 532.91 348.54 532.91 348.54 3.71 3.09
779297986 534.467 348.493 534.467 348.493 3.71 3.08
779298003 535.72 350.966 535.72 350.966 3.71 3.08
779298019 536.748 351.167 536.748 351.167 3.71 3.07
779298036 537.709 351.78 537.709 351.78 3.72 3.07
779298069 538.974 351.848 538.974 351.848 3.72 3.07
779298086 538.959 351.208 538.959 351.208 3.72 3.07
779298103 539.581 350.101 539.581 350.101 3.71 3.08
779298119 540.608 349.054 540.608 349.054 3.7 3.09
779298136 540.553 349.333 540.553 349.333 3.69 3.1
779298153 541.596 350.036 541.596 350.036 3.69 3.11
779298170 542.326 350.447 542.326 350.447 3.68 3.11
779298186 543.506 352.035 543.506 352.035 3.67 3.12
779298203 544.882 351.397 544.882 351.397 3.67 3.11
779298219 545.809 351.779 545.809 351.779 3.66 3.11
779298236 546.526 350.929 546.526 350.929 3.67 3.11
779298253 546.891 350.787 546.891 350.787 3.67 3.11
779298270 547.331 351.13 547.331 351.13 3.69 3.11
779298286 547.104 351.357 547.104 351.357 3.7 3.11
779298303 524.186 349.828 524.186 349.828 3.71 3.11
779298336 473.973 316.334 473.973 316.334 3.72 3.11
779298386 470.665 300.006 470.665 300.006 3.73 3.1
779298403 467.097 292.296 467.097 292.296 3.73 3.1
779298420 466.946 288.213 466.946 288.213 3.73 3.1
779298436 466.297 283.788 466.297 283.788 3.73 3.09
779298453 465.745 283.838 465.745 283.838 3.74 3.09
779298470 463.826 279.888 463.826 279.888 3.73 3.09
779298486 464.416 277.973 464.416 277.973 3.73 3.09
779298503 463.623 277.375 463.623 277.375 3.73 3.09
779298520 464.261 276.849 464.261 276.849 3.72 3.09
779298536 463.184 276.008 463.184 276.008 3.71 3.09
779298553 464.781 276.184 464.781 276.184 3.71 3.08
779298586 465.67 275.784 465.67 275.784 3.7 3.08
779298603 465.746 275.14 465.746 275.14 3.69 3.07
779298620 465.369 274.615 465.369 274.615 3.68 3.06
779298637 506.612 316.408 506.612 316.408 3.68 3.06
779298653 548.252 350.334 548.252 350.334 3.67 3.05
779298670 545.892 347.383 545.892 347.383 3.67 3.04
779298687 548.778 354.47 548.778 354.47 3.66 3.05
779298703 552.665 354.872 552.665 354.872 3.67 3.04
779298720 552.682 358.512 552.682 358.512 3.67 3.05
779298737 554.17 359.719 554.17 359.719 3.68 3.05
779298753 555.266 361.461 555.266 361.461 3.69 3.05
779298770 555.53 362.791 555.53 362.791 3.69 3.04
779298787 555.552 364.224 555.552 364.224 3.7 3.04
779298837 556.752 366.285 556.752 366.285 3.71 3.05
779298853 558.083 368.555 558.083 368.555 3.72 3.07
779298887 558.199 369.705 558.199 369.705 3.73 3.07
779298903 559.737 372.539 559.737 372.539 3.74 3.08
779298937 560.213 374.487 560.213 374.487 3.74 3.09
779298953 561.046 376.051 561.046 376.051 3.75 3.1
779298970 561.668 378.055 561.668 378.055 3.76 3.09
779298987 562.358 378.634 562.358 378.634 3.76 3.08
779299003 562.403 378.229 562.403 378.229 3.76 3.07
779299037 687.53 507.367 687.53 507.367 3.76 3.08
779299053 687.844 503.179 687.844 503.179 3.75 3.08
779299087 690.947 503.474 690.947 503.474 3.74 3.08
779299103 692.74 502.445 692.74 502.445 3.73 3.08
779299153 692.958 502.567 692.958 502.567 3.73 3.09
779299187 693.32 502.584 693.32 502.584 3.73 3.1
779299203 692.954 503.323 692.954 503.323 3.73 3.1
779299220 693.336 503.812 693.336 503.812 3.73 3.1
779299237 693.807 503.292 693.807 503.292 3.73 3.1
779299254 692.785 503.46 692.785 503.46 3.73 3.1
779299270 693.096 503.086 693.096 503.086 3.74 3.1
779299287 694.245 502.289 694.245 502.289 3.74 3.1
779299304 694.789 502.883 694.789 502.883 3.74 3.1
779299320 695.024 502.164 695.024 502.164 3.74 3.1
779299337 695.348 502.544 695.348 502.544 3.74 3.09
779299353 695.8 503.928 695.8 503.928 3.74 3.1
779299387 696.784 505.204 696.784 505.204 3.74 3.1
779299404 697.628 504.64 697.628 504.64 3.74 3.09
779299437 697.634 504.148 697.634 504.148 3.74 3.08
779299454 695.872 503.294 695.872 503.294 3.73 3.07
779299487 697.569 502.485 697.569 502.485 3.73 3.06
779299504 697.382 502.456 697.382 502.456 3.73 3.06
779299520 697.699 501.661 697.699 501.661 3.72 3.06
779299537 698.327 501.524 698.327 501.524 3.72 3.06
779299554 698.455 502.434 698.455 502.434 3.72 3.06
779299570 696.507 502.819 696.507 502.819 3.73 3.05
779299587 696.009 501.929 696.009 501.929 3.71 3.05
779299604 687.269 538.493 687.269 538.493 3.72 3.06
779299620 681.635 526.765 681.635 526.765 3.72 3.05
779299637 676.266 536.411 676.266 536.411 3.71 3.05
779299654 672.386 538.282 672.386 538.282 3.71 3.05
779299670 671.274 543.84 671.274 543.84 3.71 3.05
779299687 669.51 546.851 669.51 546.851 3.71 3.06
779299704 668.966 547.026 668.966 547.026 3.71 3.07
779299720 669.216 551.042 669.216 551.042 3.71 3.08
779299754 665.023 555.018 665.023 555.018 3.72 3.09
779299770 663.41 556.558 663.41 556.558 3.73 3.09
779299787 663.073 556.39 663.073 556.39 3.73 3.09
779299804 661.534 557.074 661.534 557.074 3.74 3.1
779299820 663.396 557.399 663.396 557.399 3.74 3.09
779299837 663.38 558.283 663.38 558.283 3.73 3.09
779299854 662.297 560.694 662.297 560.694 3.74 3.09
779299870 662.861 563.036 662.861 563.036 3.75 3.08
779299888 662.476 564.738 662.476 564.738 3.74 3.07
779299904 661.766 563.833 661.766 563.833 3.74 3.07
779299954 660.525 563.961 660.525 563.961 3.72 3.06
779299987 660.307 563.986 660.307 563.986 3.7 3.05
779300004 659.386 564.553 659.386 564.553 3.7 3.05
779300020 658.836 565.37 658.836 565.37 3.68 3.05
779300054 660.539 564.977 660.539 564.977 3.67 3.05
779300070 659.908 565.372 659.908 565.372 3.65 3.05
779300087 659.628 566.807 659.628 566.807 3.64 3.04
779300104 659.19 565.703 659.19 565.703 3.63 3.05
779300120 657.773 564.589 657.773 564.589 3.62 3.04
779300137 657.285 563.894 657.285 563.894 3.61 3.04
779300154 656.713 564.759 656.713 564.759 3.6 3.03
779300170 658.151 565.085 658.151 565.085 3.61 3.04
779300187 658.876 566.252 658.876 566.252 3.61 3.04
779300204 658.188 564.045 658.188 564.045 3.6 3.04
779300387 648.264 828.558 648.264 828.558 0 0
779300420 496.228 650.901 496.228 650.901 3.51 3.1
779300437 484.821 525.101 484.821 525.101 3.55 3.09
779300454 508.636 494.097 508.636 494.097 3.57 3.08
779300470 498.539 482.174 498.539 482.174 3.58 3.07
779300504 500.669 474.43 500.669 474.43 3.59 3.06
779300521 505.137 469.906 505.137 469.906 3.59 3.05
779300554 500.773 469.235 500.773 469.235 3.6 3.05
779300604 499.133 467.84 499.133 467.84 3.6 3.05
779300637 503.869 469.056 503.869 469.056 3.61 3.05
779300654 505.251 468.68 505.251 468.68 3.61 3.05
779300687 612.734 600.718 612.734 600.718 3.62 3.05
779300704 615.113 586.564 615.113 586.564 3.63 3.05
779300737 618.479 591.182 618.479 591.182 3.62 3.05
779300754 622.2 592.726 622.2 592.726 3.63 3.05
779300771 622.073 589.131 622.073 589.131 3.63 3.05
779300787 620.246 589.397 620.246 589.397 3.63 3.06
779300804 618.976 589.696 618.976 589.696 3.63 3.06
779300821 620.362 587.723 620.362 587.723 3.62 3.06
779300854 620.496 590.679 620.496 590.679 3.63 3.07
779300904 621.431 591.211 621.431 591.211 3.63 3.07
779300921 620.911 591.771 620.911 591.771 3.62 3.06
779300937 620.225 593.031 620.225 593.031 3.62 3.07
779300954 620.931 593.648 620.931 593.648 3.62 3.07
779300971 620.624 594.972 620.624 594.972 3.63 3.06
779300987 619.708 592.442 619.708 592.442 3.62 3.07
779301004 620.854 596.65 620.854 596.65 3.62 3.06
779301021 614.984 590.071 614.984 590.071 3.62 3.07
