#IMAGE
2 LARGE_TARGETS
779558734 630.876 366.727 630.876 366.727 3.52 2.93
779558767 639.627 382.699 639.627 382.699 3.52 2.94
779558783 637.08 387.512 637.08 387.512 3.51 2.94
779558800 650.682 396.579 650.682 396.579 3.51 2.94
779558833 650.706 399.151 650.706 399.151 3.49 2.94
779558850 650.655 395.776 650.655 395.776 3.48 2.93
779558867 652.841 392.683 652.841 392.683 3.47 2.93
779558883 655.102 390.717 655.102 390.717 3.47 2.93
779558900 656.673 388.368 656.673 388.368 3.46 2.92
779558917 659.534 390.744 659.534 390.744 3.45 2.91
779558933 661.233 394.67 661.233 394.67 3.45 2.92
779558950 663.506 394.754 663.506 394.754 3.44 2.91
779558983 660.758 393.8 660.758 393.8 3.43 2.91
779559000 657.689 398.864 657.689 398.864 3.43 2.92
779559017 500.902 521.714 500.902 521.714 3.43 2.91
779559033 495.657 528.191 495.657 528.191 3.44 2.9
779559083 484.26 533.745 484.26 533.745 3.44 2.9
779559100 485.61 537.389 485.61 537.389 3.45 2.88
779559117 488.526 537.231 488.526 537.231 3.46 2.87
779559133 485.856 539.939 485.856 539.939 3.47 2.88
779559150 484.014 537.878 484.014 537.878 3.48 2.86
779559167 483.408 537.661 483.408 537.661 3.49 2.86
779559183 480.862 537.797 480.862 537.797 3.5 2.87
779559200 479.554 536.882 479.554 536.882 3.51 2.86
779559217 477.062 535.687 477.062 535.687 3.52 2.88
779559233 478.901 536.884 478.901 536.884 3.53 2.89
779559250 476.43 535.489 476.43 535.489 3.54 2.89
779559267 475.206 534.506 475.206 534.506 3.56 2.9
779559283 473.202 533.528 473.202 533.528 3.57 2.91
779559300 473.024 533.04 473.024 533.04 3.58 2.93
779559333 230.169 769.268 230.169 769.268 3.6 2.95
779559600 373.942 835.969 373.942 835.969 3.71 3.14
779559634 681.972 598.878 681.972 598.878 3.71 3.13
779559650 603.087 599.908 603.087 599.908 3.7 3.12
779559667 672.123 524.449 672.123 524.449 0 3.12
779559684 671.008 526.415 671.008 526.415 0 3.12
779559700 643.785 534.888 643.785 534.888 0 3.12
779559734 659.402 540.902 659.402 540.902 3.72 3.13
779559750 647.109 538.143 647.109 538.143 3.75 3.13
779559767 646.72 542.409 646.72 542.409 3.76 3.13
779559784 653.689 544.02 653.689 544.02 3.76 3.15
779559800 649.462 538.7 649.462 538.7 3.78 3.15
779559851 646.853 535.049 646.853 535.049 3.79 3.16
779559867 647.359 538.863 647.359 538.863 3.79 3.16
779559884 650.315 538.675 650.315 538.675 3.81 3.17
779559901 646.273 536.244 646.273 536.244 3.81 3.16
779559934 645.778 537.258 645.778 537.258 3.81 3.15
779559951 645.334 536.096 645.334 536.096 3.81 3.15
779559968 646.788 536.33 646.788 536.33 3.81 3.14
779559984 644.429 533.82 644.429 533.82 3.8 3.14
779560001 648.026 537.428 648.026 537.428 3.8 3.14
779560017 645.056 532.038 645.056 532.038 3.78 3.13
779560034 644.085 535.144 644.085 535.144 3.78 3.12
779560051 646.789 534.96 646.789 534.96 3.77 3.12
779560067 646.798 535.453 646.798 535.453 3.75 3.11
779560101 645.932 535.642 645.932 535.642 3.74 3.1
779560134 645.3 535.217 645.3 535.217 3.73 3.09
779560151 644.488 535.597 644.488 535.597 3.72 3.09
779560184 646.795 535.463 646.795 535.463 3.71 3.08
779560201 643.799 535.859 643.799 535.859 3.71 3.08
779560217 644.106 536.834 644.106 536.834 3.71 3.07
779560234 642.998 534.427 642.998 534.427 3.69 3.07
779560251 642.023 534.955 642.023 534.955 3.68 3.07
779560267 640.327 534.021 640.327 534.021 3.68 3.06
779560301 638.399 534.69 638.399 534.69 3.67 3.05
779560317 638.739 534.643 638.739 534.643 3.66 3.05
779560334 640.048 532.909 640.048 532.909 3.66 3.03
779560351 635.629 537.299 635.629 537.299 3.66 3.02
779560367 461.448 536.83 461.448 536.83 3.65 2.99
779560401 447.736 537.902 447.736 537.902 3.65 2.97
779560451 460.925 542.441 460.925 542.441 3.64 2.96
779560484 456.349 539.914 456.349 539.914 3.63 2.95
779560501 454.421 543.063 454.421 543.063 3.64 2.95
779560517 451.67 545.571 451.67 545.571 3.64 2.93
779560534 453.38 546.669 453.38 546.669 3.64 2.93
779560551 452.727 549.216 452.727 549.216 3.64 2.93
779560567 451.506 550.907 451.506 550.907 3.65 2.94
779560584 450.186 553.256 450.186 553.256 3.65 2.95
779560601 451.108 553.704 451.108 553.704 3.66 2.96
779560618 449.212 557.986 449.212 557.986 3.67 2.97
779560651 452.073 556.509 452.073 556.509 3.68 2.97
779560668 451.555 555.671 451.555 555.671 3.68 2.97
779560684 450.39 556.372 450.39 556.372 3.7 2.98
779560701 449.243 556.806 449.243 556.806 3.7 2.99
779560751 450.774 555.024 450.774 555.024 3.71 2.99
779560768 452.279 554.608 452.279 554.608 3.73 2.99
779560784 451.643 554.512 451.643 554.512 3.75 2.99
779560801 451.059 553.842 451.059 553.842 3.76 3
779560818 450.019 552.63 450.019 552.63 3.77 3.02
779560834 447.282 549.674 447.282 549.674 3.78 3.03
779560851 449.395 547.341 449.395 547.341 3.79 3.04
779560868 451.675 545.852 451.675 545.852 3.82 3.04
779560884 393.951 546.377 393.951 546.377 3.84 3.05
779560901 410.085 546.328 410.085 546.328 3.85 3.06
779560918 407.637 547.55 407.637 547.55 3.87 3.07
779560934 396.083 550.077 396.083 550.077 3.88 3.08
779560967 385.703 552.899 385.703 552.899 3.9 3.08
779560984 378.895 554.547 378.895 554.547 3.92 3.09
779561001 382.971 557.537 382.971 557.537 3.94 3.1
779561017 381.783 559.545 381.783 559.545 3.96 3.1
779561034 385.418 562.698 385.418 562.698 3.98 3.11
779561051 383.589 565.105 383.589 565.105 3.99 3.11
779561068 383.917 567.468 383.917 567.468 3.99 3.11
779561084 385.203 569.855 385.203 569.855 4 3.11
779561101 385.059 572.413 385.059 572.413 4 3.11
779561118 384.567 573.569 384.567 573.569 4 3.1
779561134 383.552 575.492 383.552 575.492 4 3.11
779561151 384.305 577.254 384.305 577.254 4 3.11
779561168 384.615 579.5 384.615 579.5 4.01 3.11
0-test-01-different1 1
779562135 562.871 539.629 562.871 539.629 3.68 3.06
779562151 562.749 540.903 562.749 540.903 3.66 3.05
779562168 562.112 542.517 562.112 542.517 3.64 3.05
779562185 562.158 542.341 562.158 542.341 3.62 3.04
779562201 561.504 542.172 561.504 542.172 3.61 3.03
779562218 561.504 543.504 561.504 543.504 3.61 3.03
779562235 560.448 544.197 560.448 544.197 3.61 3.02
779562251 560.036 544.462 560.036 544.462 3.61 3.02
779562268 559.899 545.863 559.899 545.863 3.6 3.02
779562285 559.929 545.467 559.929 545.467 3.6 3.01
779562301 560.347 545.465 560.347 545.465 3.6 3
779562318 560.142 545.086 560.142 545.086 3.61 3
779562335 559.389 544.016 559.389 544.016 3.63 2.99
779562368 559.539 333.357 559.539 333.357 3.65 3
779562385 558.462 295.521 558.462 295.521 3.65 3.01
779562418 557.872 277.109 557.872 277.109 3.66 3.02
779562435 556.753 277.886 556.753 277.886 3.68 3.03
779562451 556.082 273.93 556.082 273.93 3.68 3.04
779562468 555.376 273.716 555.376 273.716 3.69 3.05
779562485 553.749 273.473 553.749 273.473 3.69 3.06
779562501 552.258 272.726 552.258 272.726 3.7 3.07
779562518 549.281 272.837 549.281 272.837 3.7 3.08
779562535 546.393 271.513 546.393 271.513 3.72 3.08
779562568 544.48 270.616 544.48 270.616 3.72 3.09
779562585 542.774 269.727 542.774 269.727 3.72 3.1
779562618 543.609 266.521 543.609 266.521 3.71 3.1
779562635 543.581 266.528 543.581 266.528 3.7 3.1
779562652 543.697 264.523 543.697 264.523 3.69 3.1
779562668 544.286 262.297 544.286 262.297 3.69 3.09
779562718 543.803 261.056 543.803 261.056 3.67 3.08
779562735 543.187 260.983 543.187 260.983 3.65 3.07
779562752 544.081 259.705 544.081 259.705 3.63 3.07
779562768 544.672 261.505 544.672 261.505 3.61 3.06
779562785 547.131 260.348 547.131 260.348 3.59 3.05
779562802 549.238 261.676 549.238 261.676 3.57 3.05
779562818 550.721 259.647 550.721 259.647 3.56 3.05
779562835 551.316 259.107 551.316 259.107 3.55 3.05
779562852 551.447 257.279 551.447 257.279 3.54 3.05
779562868 552.911 256.659 552.911 256.659 3.53 3.05
779562885 552.605 257.786 552.605 257.786 3.53 3.05
779562902 552.444 256.443 552.444 256.443 3.53 3.05
779562935 552.487 254.529 552.487 254.529 3.52 3.05
779562968 553.617 253.3 553.617 253.3 3.53 3.05
779563018 551.866 251.479 551.866 251.479 3.54 3.05
779563035 545.567 249.81 545.567 249.81 3.53 3.05
779563052 540.854 248.566 540.854 248.566 3.54 3.05
779563068 533.923 250.859 533.923 250.859 3.54 3.05
779563085 525.216 249.816 525.216 249.816 3.55 3.04
779563102 527.24 251.741 527.24 251.741 3.55 3.03
779563118 523.113 253.659 523.113 253.659 3.55 3.02
779563135 521.605 254.235 521.605 254.235 3.55 3.01
779563169 518.373 254.502 518.373 254.502 3.55 3.01
779563185 517.327 256.651 517.327 256.651 3.55 3
779563202 514.805 257.275 514.805 257.275 3.55 3
779563218 513.339 258.427 513.339 258.427 3.56 3.01
779563235 513.079 258.827 513.079 258.827 3.57 3.02
779563269 512.84 257.619 512.84 257.619 3.58 3.02
779563285 512.877 256.176 512.877 256.176 3.58 3.03
779563302 513.901 253.453 513.901 253.453 3.58 3.04
779563319 514.191 254.232 514.191 254.232 3.59 3.04
779563335 514.488 252.427 514.488 252.427 3.59 3.04
779563352 514.341 251.561 514.341 251.561 3.59 3.04
779563369 514.993 251.025 514.993 251.025 3.59 3.04
779563385 514.621 249.745 514.621 249.745 3.6 3.04
779563402 515.516 248.694 515.516 248.694 3.6 3.04
779563419 515.464 249.535 515.464 249.535 3.61 3.05
779563435 515.797 248.56 515.797 248.56 3.62 3.05
779563469 516.201 250.644 516.201 250.644 3.63 3.06
779563485 516.35 251.239 516.35 251.239 3.64 3.06
779563519 515.954 252.215 515.954 252.215 3.65 3.05
779563535 516.466 251.387 516.466 251.387 3.65 3.04
779563569 516.365 251.71 516.365 251.71 3.66 3.05
779563588 515.925 251.353 515.925 251.353 3.66 3.06
779563602 514.824 250.675 514.824 250.675 3.67 3.07
779563619 514.019 249.683 514.019 249.683 3.66 3.08
779563635 513.251 248.857 513.251 248.857 3.67 3.09
779563652 512.895 247.251 512.895 247.251 3.68 3.1
779563669 511.971 247.068 511.971 247.068 3.68 3.11
779563685 466.7 243.025 466.7 243.025 3.69 3.12
779563702 440.284 203.969 440.284 203.969 3.69 3.12
779563719 437.671 216.454 437.671 216.454 3.7 3.13
779563735 438.18 199.382 438.18 199.382 3.71 3.13
779563769 432.763 209.718 432.763 209.718 3.71 3.14
779563785 428.622 204.79 428.622 204.79 3.72 3.14
779563802 424.683 206.046 424.683 206.046 3.72 3.14
779563819 423.22 204.873 423.22 204.873 3.72 3.14
779563835 418.932 205.951 418.932 205.951 3.72 3.14
779563869 419.169 196.927 419.169 196.927 3.72 3.14
779563885 418.67 195.385 418.67 195.385 3.73 3.15
779563902 416.686 191.878 416.686 191.878 3.73 3.15
779563919 419.319 190.957 419.319 190.957 3.73 3.15
779563936 419.68 191.303 419.68 191.303 3.73 3.15
779563952 422.965 192.656 422.965 192.656 3.74 3.15
779563969 424.377 192.865 424.377 192.865 3.74 3.15
779563985 423.104 193.367 423.104 193.367 3.74 3.15
779564002 422.33 193.493 422.33 193.493 3.73 3.15
779564036 422.955 190.498 422.955 190.498 3.72 3.14
779564086 429.332 190.195 429.332 190.195 3.72 3.14
779564102 430.964 191.028 430.964 191.028 3.72 3.14
779564119 431.952 191.741 431.952 191.741 3.72 3.14
779564136 432.219 192.838 432.219 192.838 3.71 3.14
779564152 432.308 195.052 432.308 195.052 3.71 3.14
779564169 685.001 144.385 685.001 144.385 3.72 3.15
779564186 957.203 53.832 957.203 53.832 3.7 3.15
779564202 1300.05 -15.415 1300.05 -15.415 3.68 3.15
779564936 477.646 211.562 477.646 211.562 3.64 2.54
779564953 478.519 206.803 478.519 206.803 3.6 2.55
779564969 478.338 205.165 478.338 205.165 3.55 2.57
779564986 477.134 200.377 477.134 200.377 3.52 2.59
779565003 473.101 190.564 473.101 190.564 3.5 2.6
779565019 470.181 186.473 470.181 186.473 3.48 2.61
779565053 471.27 185.33 471.27 185.33 3.47 2.64
779565069 471.106 178.999 471.106 178.999 3.45 2.65
779565086 470.09 178.33 470.09 178.33 3.44 2.66
779565103 467.674 173.177 467.674 173.177 3.44 2.68
779565136 464.659 164.237 464.659 164.237 3.44 2.7
779565153 462.454 158.078 462.454 158.078 3.45 2.72
779565186 463.446 158.92 463.446 158.92 3.46 2.74
779565203 462.442 156.588 462.442 156.588 3.47 2.77
779565219 460.125 156.542 460.125 156.542 3.48 2.79
779565236 458.987 154.578 458.987 154.578 3.49 2.82
779565253 459.091 152.454 459.091 152.454 3.5 2.84
779565286 457.398 149.644 457.398 149.644 3.51 2.87
779565303 456.207 147.499 456.207 147.499 3.53 2.9
779565319 454.749 145.491 454.749 145.491 3.54 2.92
779565336 454.219 141.507 454.219 141.507 3.56 2.94
779565353 454.583 141.098 454.583 141.098 3.57 2.96
779565369 453.176 138.868 453.176 138.868 3.59 2.98
779565386 452.454 135.807 452.454 135.807 3.61 3
779565403 449.635 133.191 449.635 133.191 3.62 3.03
779565436 449.167 133.769 449.167 133.769 3.64 3.05
779565453 449.362 131.299 449.362 131.299 3.65 3.06
779565470 449.444 130.905 449.444 130.905 3.66 3.08
779565486 449.364 130.417 449.364 130.417 3.67 3.09
779565503 450.488 133.106 450.488 133.106 3.69 3.1
779565536 452.367 134.634 452.367 134.634 3.7 3.1
779565553 454.676 139.681 454.676 139.681 3.71 3.11
779565570 453.825 142.81 453.825 142.81 3.71 3.12
779565586 454.28 143.26 454.28 143.26 3.71 3.12
779565603 452.765 146.716 452.765 146.716 3.71 3.13
779565620 454.235 149.306 454.235 149.306 3.71 3.14
779565636 455.86 152.623 455.86 152.623 3.72 3.14
779565653 456.699 154.282 456.699 154.282 3.73 3.14
779565670 459.157 153.731 459.157 153.731 3.73 3.13
779565686 462.651 153.835 462.651 153.835 3.73 3.13
779565703 463.102 152.154 463.102 152.154 3.73 3.13
779565720 459.721 153.834 459.721 153.834 3.72 3.13
779565753 456.299 152.058 456.299 152.058 3.72 3.14
779565803 458.673 146.999 458.673 146.999 3.71 3.13
779565836 457.335 142.041 457.335 142.041 3.71 3.14
779565853 457.839 136.202 457.839 136.202 3.71 3.15
779565870 457.818 133.546 457.818 133.546 3.71 3.16
779565886 456.67 127.809 456.67 127.809 3.72 3.17
779565903 453.515 125.62 453.515 125.62 3.72 3.17
779565920 453.131 122.573 453.131 122.573 3.73 3.18
779565936 450.299 117.092 450.299 117.092 3.73 3.19
779565953 449.197 114.175 449.197 114.175 3.73 3.19
779566003 449.152 115.248 449.152 115.248 3.73 3.19
779566053 453.03 116.401 453.03 116.401 3.73 3.19
779566070 454.236 118.557 454.236 118.557 3.73 3.18
779566086 453.756 124.115 453.756 124.115 3.73 3.18
779566103 451.6 126.517 451.6 126.517 3.73 3.18
779566120 450.911 127.337 450.911 127.337 3.73 3.18
779566137 451.216 136.136 451.216 136.136 3.73 3.18
779566153 440.971 173.744 440.971 173.744 3.73 3.18
779566170 435.145 156.799 435.145 156.799 3.73 3.18
779566187 434.752 159.923 434.752 159.923 3.73 3.17
779566203 448.131 157.114 448.131 157.114 3.73 3.16
779566220 441.896 167.2 441.896 167.2 3.73 3.15
779566237 434.242 170.123 434.242 170.123 3.73 3.15
779566253 425.672 171.315 425.672 171.315 3.73 3.14
779566270 427.011 173.689 427.011 173.689 3.73 3.13
779566287 432.091 176.854 432.091 176.854 3.73 3.13
779566303 423.213 179.519 423.213 179.519 3.74 3.13
779566320 423.894 179.786 423.894 179.786 3.73 3.12
779566353 420.935 180.126 420.935 180.126 3.74 3.12
779566370 427.308 184.936 427.308 184.936 3.73 3.12
779566403 430.132 191.043 430.132 191.043 3.74 3.12
779566420 426.49 198.867 426.49 198.867 3.75 3.12
779566437 423.002 194.596 423.002 194.596 3.76 3.12
779566453 422.649 193.609 422.649 193.609 3.76 3.12
779566470 427.335 197.602 427.335 197.602 3.76 3.12
779566487 427.875 197.027 427.875 197.027 3.76 3.13
779566503 426.246 198.087 426.246 198.087 3.77 3.13
779566520 426.12 198.734 426.12 198.734 3.76 3.13
779566553 425.841 202.525 425.841 202.525 3.77 3.13
779566570 428.225 205.441 428.225 205.441 3.77 3.13
779566605 430.541 207.608 430.541 207.608 3.77 3.14
779566620 429.613 206.084 429.613 206.084 3.78 3.14
779566653 426.041 204.786 426.041 204.786 3.79 3.13
779566670 425.562 203.031 425.562 203.031 3.8 3.14
779566687 427.599 204.77 427.599 204.77 3.81 3.15
779566703 430.356 206.032 430.356 206.032 3.81 3.15
779566720 426.277 207.067 426.277 207.067 3.82 3.15
779566737 418.593 209.476 418.593 209.476 3.82 3.16
779566753 417.135 208.89 417.135 208.89 3.83 3.16
779566770 417.899 208.964 417.899 208.964 3.84 3.17
779566787 418.643 202.935 418.643 202.935 3.85 3.17
779566804 416.515 203.959 416.515 203.959 3.85 3.17
779566820 414.806 206.704 414.806 206.704 3.86 3.18
779566870 418.441 201.232 418.441 201.232 3.87 3.18
779566887 420.54 199.001 420.54 199.001 3.88 3.18
779566904 420.902 200.114 420.902 200.114 3.88 3.19
779566920 416.484 197.606 416.484 197.606 3.89 3.19
779566954 420.425 197.794 420.425 197.794 3.9 3.19
779566970 423.826 195.992 423.826 195.992 3.91 3.2
779566987 423.856 195.544 423.856 195.544 3.9 3.2
779567004 421.744 196.352 421.744 196.352 3.91 3.21
779567020 420.695 198.338 420.695 198.338 3.91 3.21
779567037 414.827 237.333 414.827 237.333 3.92 3.22
779567054 268.537 596.833 268.537 596.833 3.94 3.23
779567070 128.053 842.102 128.053 842.102 3.96 3.24
779567470 372.401 458.508 372.401 458.508 3.78 3.15
779567504 392.28 314.272 392.28 314.272 3.77 3.14
779567520 407.767 300.404 407.767 300.404 3.76 3.13
779567537 420.857 295.91 420.857 295.91 3.76 3.13
779567554 425.706 297.418 425.706 297.418 3.76 3.12
779567570 430.072 296.857 430.072 296.857 3.76 3.12
779567587 429.173 295.025 429.173 295.025 3.76 3.13
779567620 431.734 295.033 431.734 295.033 3.76 3.13
779567637 435.149 296.156 435.149 296.156 3.77 3.14
779567654 438.517 298.191 438.517 298.191 3.78 3.14
779567671 438.556 298.231 438.556 298.231 3.78 3.14
779567704 439.016 298.231 439.016 298.231 3.79 3.15
779567721 440.546 299.047 440.546 299.047 3.8 3.15
779567754 641.113 533.72 641.113 533.72 3.79 3.15
779567771 655.122 536.522 655.122 536.522 3.79 3.14
779567787 665.969 549.413 665.969 549.413 3.78 3.15
779567804 674.088 556.858 674.088 556.858 3.78 3.14
779567821 679.671 564.729 679.671 564.729 3.76 3.14
779567837 679.574 572.27 679.574 572.27 3.76 3.14
779567854 686.803 564.526 686.803 564.526 3.75 3.13
779567871 688.848 570.786 688.848 570.786 3.74 3.11
779567887 685.235 564.216 685.235 564.216 3.74 3.11
779567904 690.636 570.191 690.636 570.191 3.75 3.09
779567921 691.297 565.785 691.297 565.785 3.74 3.08
779567971 692.896 567.247 692.896 567.247 3.75 3.08
779568021 692.265 568.311 692.265 568.311 3.74 3.08
779568054 693.343 567.693 693.343 567.693 3.74 3.08
779568071 693.632 568.947 693.632 568.947 3.75 3.09
779568087 692.391 567.438 692.391 567.438 3.76 3.09
779568104 691.925 564.435 691.925 564.435 3.77 3.09
779568121 688.164 562.832 688.164 562.832 3.78 3.09
779568138 686.451 562.171 686.451 562.171 3.79 3.1
779568154 626.915 540.899 626.915 540.899 3.78 3.1
779568171 500.228 347.256 500.228 347.256 3.79 3.11
779568187 478.15 278.966 478.15 278.966 3.79 3.11
779568204 468.641 283.781 468.641 283.781 3.78 3.1
779568221 463.49 283.178 463.49 283.178 3.79 3.11
779568254 466.091 290.29 466.091 290.29 3.79 3.11
779568271 461.046 281.323 461.046 281.323 3.8 3.11
779568288 457.269 278.671 457.269 278.671 3.79 3.11
779568321 459.337 282.583 459.337 282.583 3.79 3.12
779568338 461.746 284.631 461.746 284.631 3.79 3.11
779568354 458.8 279.373 458.8 279.373 3.78 3.11
779568371 461.34 275.52 461.34 275.52 3.77 3.11
779568388 460.084 280.48 460.084 280.48 3.77 3.11
779568404 462.222 281.032 462.222 281.032 3.76 3.11
779568421 460.425 275.176 460.425 275.176 3.76 3.11
779568438 461.868 274.171 461.868 274.171 3.76 3.11
779568454 460.048 272.292 460.048 272.292 3.75 3.11
779568471 462.614 273.756 462.614 273.756 3.74 3.11
779568488 465.953 273.82 465.953 273.82 3.74 3.11
779568504 466.955 277.728 466.955 277.728 3.75 3.12
779568521 464.976 275.425 464.976 275.425 3.75 3.12
779568571 466.483 274.671 466.483 274.671 3.75 3.13
779568588 461.078 274.465 461.078 274.465 3.75 3.14
779568621 460.87 276.208 460.87 276.208 3.76 3.15
779568638 460.238 277.088 460.238 277.088 3.77 3.15
779568654 459.058 279.015 459.058 279.015 3.78 3.18
779568671 461.399 277.975 461.399 277.975 3.78 3.19
779568688 459.611 276.337 459.611 276.337 3.8 3.19
779568704 457.797 278.975 457.797 278.975 3.82 3.2
779568721 455.913 276.44 455.913 276.44 3.82 3.21
779568738 453.537 275.803 453.537 275.803 3.84 3.22
779568754 452.316 272.067 452.316 272.067 3.85 3.23
779568771 455.268 279.253 455.268 279.253 3.86 3.23
779568788 453.171 273.21 453.171 273.21 3.87 3.23
779568804 454.816 278.461 454.816 278.461 3.87 3.24
779568821 458.309 275.772 458.309 275.772 3.87 3.24
779568871 456.385 275.817 456.385 275.817 3.88 3.24
779568888 456.624 276.404 456.624 276.404 3.89 3.23
779568904 454.867 280.759 454.867 280.759 3.9 3.25
779568921 457.828 278.469 457.828 278.469 3.9 3.26
779568938 460.143 279.782 460.143 279.782 3.91 3.25
779568954 456.501 282.384 456.501 282.384 3.92 3.25
779568971 462.079 284.046 462.079 284.046 3.93 3.26
779568989 460.57 283.001 460.57 283.001 3.93 3.27
779569022 461.52 283.921 461.52 283.921 3.94 3.26
779569039 447.385 270.921 447.385 270.921 3.94 3.27
779569072 451.546 256.079 451.546 256.079 3.94 3.28
779569088 448.421 245.382 448.421 245.382 3.94 3.29
779569121 451.02 244.053 451.02 244.053 3.94 3.29
779569171 439.922 231.199 439.922 231.199 3.94 3.3
779569188 437.334 232.224 437.334 232.224 3.94 3.3
779569221 438.966 229.064 438.966 229.064 3.95 3.3
779569238 441.019 226.134 441.019 226.134 3.95 3.31
779569255 433.899 220.328 433.899 220.328 3.95 3.31
779569271 433.444 216.371 433.444 216.371 3.95 3.33
779569288 434.082 220.995 434.082 220.995 3.95 3.34
779569305 431.304 218.314 431.304 218.314 3.95 3.35
779569321 433.509 218.718 433.509 218.718 3.96 3.36
779569338 434.825 218.01 434.825 218.01 3.97 3.36
