suj,trial_id,is_trial,trial_name,trial_type,response,dur,ojoDI,blink,amp_sacada,pupila,gaze,nf,fixX,fixY,targetSide,tX1,tY1,tX2,tY2,tX3,tY3,fixStart,fixEnd,fixMid,timeline,score
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,67,0,0,0.451847,3.25992,883,9,1238.73,263.545,181,613,869,1125,677,0,0,2264058.00,2264125.00,2264091.50,502.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,134,0,0,0.254715,3.22237,883,9,1244.71,254.714,181,613,869,1125,677,0,0,2264132.00,2264266.00,2264199.00,576.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,121,0,0,0.494647,3.19949,883,9,1224.74,260.211,181,613,869,1125,677,0,0,2264272.00,2264393.00,2264332.50,716.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,67,0,0,9.97946,3.09122,883,9,811.909,349.091,181,613,869,1125,677,0,0,2264460.00,2264527.00,2264493.50,904.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,80,0,0,0.947369,3.1381,883,9,787.538,317.769,181,613,869,1125,677,0,0,2264534.00,2264614.00,2264574.00,978.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,187,1,0,0,3.39132,917,8,1005.24,565.483,181,613,869,1125,677,0,0,2263556.00,2263743.00,2263649.50,0.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,61,1,0,6.68154,3.37352,917,8,749,449.8,181,613,869,1125,677,0,0,2263770.00,2263831.00,2263800.50,214.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,87,1,0,0.894747,3.3971,917,8,715.214,433.571,181,613,869,1125,677,0,0,2263837.00,2263924.00,2263880.50,281.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,73,1,0,12.5629,3.2275,917,8,1236.67,314.75,181,613,869,1125,677,0,0,2263965.00,2264038.00,2264001.50,409.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,207,1,0,0.519377,3.19664,917,8,1246.25,295.219,181,613,869,1125,677,0,0,2264045.00,2264252.00,2264148.50,489.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,168,1,0,0.426837,3.15332,917,8,1256.12,280.308,181,613,869,1125,677,0,0,2264259.00,2264427.00,2264343.00,703.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,54,1,0,10.3022,3.26415,917,8,828.333,365.778,181,613,869,1125,677,0,0,2264473.00,2264527.00,2264500.00,917.00,29
2019_07_13_16_38_07,0,1,0-test-different-0,different,S,80,1,0,1.00331,3.25919,917,8,808.846,328.538,181,613,869,1125,677,0,0,2264534.00,2264614.00,2264574.00,978.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,107,0,0,0,3.12673,1680,16,984.765,338.588,181,613,1061,1125,1061,0,0,2265867.00,2265974.00,2265920.50,0.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,113,0,0,2.66911,3.13756,1680,16,940.611,441.389,181,613,1061,1125,1061,0,0,2265981.00,2266094.00,2266037.50,114.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,74,0,0,0.749091,3.19912,1680,16,966.333,423.417,181,613,1061,1125,1061,0,0,2266101.00,2266175.00,2266138.00,234.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,101,0,0,8.98282,3.14095,1680,16,668.375,658.25,181,613,1061,1125,1061,0,0,2266195.00,2266296.00,2266245.50,328.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,114,0,0,0.803387,3.1218,1680,16,650.611,686.833,181,613,1061,1125,1061,0,0,2266302.00,2266416.00,2266359.00,435.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,101,0,0,8.57269,3.12491,1680,16,1010.81,653,181,613,1061,1125,1061,0,0,2266476.00,2266577.00,2266526.50,609.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,53,0,0,1.65855,3.05742,1680,16,1003.56,583.889,181,613,1061,1125,1061,0,0,2266584.00,2266637.00,2266610.50,717.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,53,0,0,1.95166,3.01311,1680,16,987.667,664.111,181,613,1061,1125,1061,0,0,2266644.00,2266697.00,2266670.50,777.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,167,0,0,6.16124,2.89534,1680,16,741.846,582.308,181,613,1061,1125,1061,0,0,2266718.00,2266885.00,2266801.50,851.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,93,0,0,1.08444,2.98863,1680,16,703.8,607.133,181,613,1061,1125,1061,0,0,2266892.00,2266985.00,2266938.50,1025.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,54,0,0,8.57816,3.03069,1680,16,1063.89,569.778,181,613,1061,1125,1061,0,0,2267005.00,2267059.00,2267032.00,1138.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,154,0,0,1.65844,3.10251,1680,16,1132.21,582.458,181,613,1061,1125,1061,0,0,2267066.00,2267220.00,2267143.00,1199.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,168,0,0,8.62557,3.04807,1680,16,768.577,599.962,181,613,1061,1125,1061,0,0,2267273.00,2267441.00,2267357.00,1406.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,60,0,0,9.38555,3.09513,1680,16,1165.1,588.6,181,613,1061,1125,1061,0,0,2267468.00,2267528.00,2267498.00,1601.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,101,0,0,1.70404,3.15117,1680,16,1236.19,595.25,181,613,1061,1125,1061,0,0,2267534.00,2267635.00,2267584.50,1667.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,167,0,0,8.90365,3.02956,1680,16,860.231,599.192,181,613,1061,1125,1061,0,0,2267689.00,2267856.00,2267772.50,1822.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,114,1,0,0,3.33451,1668,13,958,373.222,181,613,1061,1125,1061,0,0,2265867.00,2265981.00,2265924.00,0.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,128,1,0,1.82173,3.31026,1668,13,982.1,445.65,181,613,1061,1125,1061,0,0,2265987.00,2266115.00,2266051.00,120.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,74,1,0,8.82279,3.36981,1668,13,671.25,650.917,181,613,1061,1125,1061,0,0,2266215.00,2266289.00,2266252.00,348.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,140,1,0,0.171783,3.26207,1668,13,677,646.591,181,613,1061,1125,1061,0,0,2266296.00,2266436.00,2266366.00,429.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,54,1,0,7.07559,3.25843,1668,13,970.111,593.444,181,613,1061,1125,1061,0,0,2266443.00,2266497.00,2266470.00,576.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,187,1,0,0.454096,3.1733,1668,13,984.724,605.621,181,613,1061,1125,1061,0,0,2266510.00,2266697.00,2266603.50,643.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,234,1,0,6.13597,3.07511,1668,13,728.417,576.083,181,613,1061,1125,1061,0,0,2266751.00,2266985.00,2266868.00,884.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,154,1,0,9.05756,3.09708,1668,13,1110.75,589.958,181,613,1061,1125,1061,0,0,2267005.00,2267159.00,2267082.00,1138.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,94,1,0,0.168445,3.08338,1668,13,1116.53,594,181,613,1061,1125,1061,0,0,2267166.00,2267260.00,2267213.00,1299.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,154,1,0,8.34436,3.12756,1668,13,764.917,610.667,181,613,1061,1125,1061,0,0,2267287.00,2267441.00,2267364.00,1420.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,94,1,0,9.61058,3.20009,1668,13,1171.07,597.133,181,613,1061,1125,1061,0,0,2267461.00,2267555.00,2267508.00,1594.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,81,1,0,0.851647,3.16636,1668,13,1203.46,612.077,181,613,1061,1125,1061,0,0,2267561.00,2267642.00,2267601.50,1694.00,29
2019_07_13_16_38_07,0,0,0-test-different-1,N/A,N/A,160,1,0,7.97257,3.06272,1668,13,869.48,574.24,181,613,1061,1125,1061,0,0,2267689.00,2267849.00,2267769.00,1822.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,80,0,0,0,3.0739,696,7,1112.69,467.462,181,613,869,1125,677,0,0,2268774.00,2268854.00,2268814.00,0.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,107,0,0,0.784147,3.0713,696,7,1089.82,443.882,181,613,869,1125,677,0,0,2268861.00,2268968.00,2268914.50,87.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,68,0,0,9.47856,3.01463,696,7,707.545,323.818,181,613,869,1125,677,0,0,2269095.00,2269163.00,2269129.00,321.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,181,0,0,1.35659,3.01838,696,7,705.286,380.607,181,613,869,1125,677,0,0,2269169.00,2269350.00,2269259.50,395.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,73,0,0,11.5181,3.11659,696,7,1186.5,293.333,181,613,869,1125,677,0,0,2269384.00,2269457.00,2269420.50,610.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,127,0,0,0.766893,3.14914,696,7,1216.1,280.85,181,613,869,1125,677,0,0,2269464.00,2269591.00,2269527.50,690.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,60,0,0,0.611744,3.19397,696,7,1240.9,274.4,181,613,869,1125,677,0,0,2269598.00,2269658.00,2269628.00,824.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,194,1,0,0,3.04538,778,7,1059.87,450.867,181,613,869,1125,677,0,0,2268774.00,2268968.00,2268871.00,0.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,67,1,0,4.13513,2.99908,778,7,1177.55,323.364,181,613,869,1125,677,0,0,2268981.00,2269048.00,2269014.50,207.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,74,1,0,10.156,3.09836,778,7,748,341.167,181,613,869,1125,677,0,0,2269075.00,2269149.00,2269112.00,301.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,94,1,0,1.40928,3.05517,778,7,757.333,399.467,181,613,869,1125,677,0,0,2269156.00,2269250.00,2269203.00,382.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,94,1,0,1.42096,3.09896,778,7,701.333,419.667,181,613,869,1125,677,0,0,2269256.00,2269350.00,2269303.00,482.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,94,1,0,12.3303,3.10943,778,7,1212.4,301.267,181,613,869,1125,677,0,0,2269397.00,2269491.00,2269444.00,623.00,29
2019_07_13_16_38_07,0,1,0-test-different-1,different,D,161,1,0,0.372867,3.14203,778,7,1227.16,296.16,181,613,869,1125,677,0,0,2269497.00,2269658.00,2269577.50,723.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,87,0,0,0,2.96628,1506,17,983.143,443.214,181,613,1061,1125,677,0,0,2270911.00,2270998.00,2270954.50,0.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,73,0,0,1.11248,2.95805,1506,17,1011.42,406.167,181,613,1061,1125,677,0,0,2271045.00,2271118.00,2271081.50,134.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,94,0,0,8.0672,2.90473,1506,17,702.267,548.067,181,613,1061,1125,677,0,0,2271185.00,2271279.00,2271232.00,274.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,80,0,0,1.09672,2.87742,1506,17,738.462,519.769,181,613,1061,1125,677,0,0,2271286.00,2271366.00,2271326.00,375.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,141,0,0,8.59083,2.88629,1506,17,1049.14,332.864,181,613,1061,1125,677,0,0,2271406.00,2271547.00,2271476.50,495.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,67,0,0,1.30269,2.90256,1506,17,1067.45,384.273,181,613,1061,1125,677,0,0,2271554.00,2271621.00,2271587.50,643.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,215,0,0,7.35096,2.89169,1506,17,768.182,463.606,181,613,1061,1125,677,0,0,2271647.00,2271862.00,2271754.50,736.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,80,0,0,3.19526,2.89314,1506,17,688.077,571,181,613,1061,1125,677,0,0,2271889.00,2271969.00,2271929.00,978.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,87,0,0,0.524345,2.93092,1506,17,685.286,549.214,181,613,1061,1125,677,0,0,2271976.00,2272063.00,2272019.50,1065.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,61,0,0,0.752308,3.00526,1506,17,705,573.8,181,613,1061,1125,677,0,0,2272069.00,2272130.00,2272099.50,1158.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,94,0,0,0.388501,3.01115,1506,17,696.933,559.667,181,613,1061,1125,677,0,0,2272136.00,2272230.00,2272183.00,1225.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,47,0,0,0.952779,3.01088,1506,17,657.5,553.5,181,613,1061,1125,677,0,0,2272237.00,2272284.00,2272260.50,1326.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,93,0,0,2.77212,3.05176,1506,17,773.6,548.533,181,613,1061,1125,677,0,0,2272311.00,2272404.00,2272357.50,1400.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,80,0,0,0.959985,3.10179,1506,17,802.692,520.769,181,613,1061,1125,677,0,0,2272411.00,2272491.00,2272451.00,1500.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,74,0,0,5.17028,3.05334,1506,17,995.917,421.667,181,613,1061,1125,677,0,0,2272538.00,2272612.00,2272575.00,1627.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,53,0,0,4.5056,3.06945,1506,17,1160.33,328.222,181,613,1061,1125,677,0,0,2272713.00,2272766.00,2272739.50,1802.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,80,0,0,0.499945,3.05244,1506,17,1141.85,318.385,181,613,1061,1125,677,0,0,2272806.00,2272886.00,2272846.00,1895.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,74,1,0,0,2.98802,1714,16,996.083,476.25,181,613,1061,1125,677,0,0,2270917.00,2270991.00,2270954.00,6.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,67,1,0,1.12114,2.95813,1714,16,966,440.182,181,613,1061,1125,677,0,0,2271011.00,2271078.00,2271044.50,100.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,73,1,0,0.140834,3.0147,1714,16,964.75,434.417,181,613,1061,1125,677,0,0,2271085.00,2271158.00,2271121.50,174.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,94,1,0,6.00298,2.98853,1714,16,727.6,520.733,181,613,1061,1125,677,0,0,2271185.00,2271279.00,2271232.00,274.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,80,1,0,0.370668,2.98051,1714,16,740.385,511.923,181,613,1061,1125,677,0,0,2271286.00,2271366.00,2271326.00,375.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,221,1,0,8.21344,2.9141,1714,16,1071.71,410.794,181,613,1061,1125,677,0,0,2271400.00,2271621.00,2271510.50,489.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,221,1,0,5.92499,2.95081,1714,16,825.824,450.5,181,613,1061,1125,677,0,0,2271647.00,2271868.00,2271757.50,736.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,241,1,0,3.65897,3.02733,1714,16,695.595,531.703,181,613,1061,1125,677,0,0,2271889.00,2272130.00,2272009.50,978.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,128,1,0,0.612225,3.08155,1714,16,703,507.15,181,613,1061,1125,677,0,0,2272136.00,2272264.00,2272200.00,1225.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,121,1,0,2.32915,3.10318,1714,16,799.895,495.316,181,613,1061,1125,677,0,0,2272304.00,2272425.00,2272364.50,1393.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,53,1,0,0.789985,3.13489,1714,16,809.444,527,181,613,1061,1125,677,0,0,2272438.00,2272491.00,2272464.50,1527.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,60,1,0,4.59246,3.06579,1714,16,957.8,403.9,181,613,1061,1125,677,0,0,2272505.00,2272565.00,2272535.00,1594.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,114,1,0,0.29607,3.04784,1714,16,956.611,391.556,181,613,1061,1125,677,0,0,2272572.00,2272686.00,2272629.00,1661.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,67,1,0,4.49458,3.04229,1714,16,1144.64,406.909,181,613,1061,1125,677,0,0,2272706.00,2272773.00,2272739.50,1795.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,54,1,0,0.379648,3.02776,1714,16,1131.67,416.111,181,613,1061,1125,677,0,0,2272779.00,2272833.00,2272806.00,1868.00,29
2019_07_13_16_38_07,0,0,0-test-same-2,N/A,N/A,46,1,0,0.83624,2.99925,1714,16,1166.38,411.375,181,613,1061,1125,677,0,0,2272840.00,2272886.00,2272863.00,1929.00,29
2019_07_13_16_38_07,0,1,0-test-same-2,same,S,140,0,0,0,2.87719,407,4,811.636,447.091,181,613,677,1125,1061,0,0,2273818.00,2273958.00,2273888.00,0.00,29
2019_07_13_16_38_07,0,1,0-test-same-2,same,S,73,0,0,6.29576,2.89864,407,4,655.5,233.25,181,613,677,1125,1061,0,0,2274059.00,2274132.00,2274095.50,241.00,29
2019_07_13_16_38_07,0,1,0-test-same-2,same,S,134,0,0,0.65514,2.93989,407,4,681.762,225.286,181,613,677,1125,1061,0,0,2274146.00,2274280.00,2274213.00,328.00,29
2019_07_13_16_38_07,0,1,0-test-same-2,same,S,60,0,0,1.4644,3.02774,407,4,661.8,283.3,181,613,677,1125,1061,0,0,2274287.00,2274347.00,2274317.00,469.00,29
2019_07_13_16_38_07,0,1,0-test-same-2,same,S,181,1,0,0,3.0043,396,4,847.179,446.821,181,613,677,1125,1061,0,0,2273818.00,2273999.00,2273908.50,0.00,29
2019_07_13_16_38_07,0,1,0-test-same-2,same,S,61,1,0,5.47855,3.0657,396,4,720.4,254.7,181,613,677,1125,1061,0,0,2274052.00,2274113.00,2274082.50,234.00,29
2019_07_13_16_38_07,0,1,0-test-same-2,same,S,87,1,0,0.39132,3.08893,396,4,715.786,270.429,181,613,677,1125,1061,0,0,2274119.00,2274206.00,2274162.50,301.00,29
2019_07_13_16_38_07,0,1,0-test-same-2,same,S,67,1,0,0.5795,3.17735,396,4,718.545,294.545,181,613,677,1125,1061,0,0,2274280.00,2274347.00,2274313.50,462.00,29
2019_07_13_16_38_07,0,0,0-test-different-3,N/A,N/A,67,0,0,0,2.95607,1713,16,991.727,441.818,181,613,869,1125,677,0,0,2275599.00,2275666.00,2275632.50,0.00,29
2019_07_13_16_38_07,0,0,0-test-different-3,N/A,N/A,94,0,0,0.769229,2.96556,1713,16,983,410.8,181,613,869,1125,677,0,0,2275673.00,2275767.00,2275720.00,74.00,29
