suj,sujnum,oracion,trial,fixn,screenpos,wn,pos,dur,longoracion,ojoDI,pupila,blink,amp_sac,gaze,nf,fixY
2019_05_30_18_20_54,1,0001,0001,3,664,0,0,47,6,1,3.27888,0,1.87189,2252,33,407.75
2019_05_30_18_20_54,1,0001,0001,4,857.667,2.66667,11.1111,53,6,1,3.26248,0,4.63294,2252,33,425.556
2019_05_30_18_20_54,1,0001,0001,5,832.667,2.44444,9.66667,114,6,1,3.2279,0,0.677646,2252,33,439
2019_05_30_18_20_54,1,0001,0001,6,737.833,1.41667,3.83333,73,6,1,3.21454,0,2.35106,2252,33,412.25
2019_05_30_18_20_54,1,0001,0001,7,791.909,2,7.09091,66,6,1,3.27134,0,1.41325,2252,33,436.364
2019_05_30_18_20_54,1,0001,0001,8,782.444,2,6.33333,54,6,1,3.26894,0,0.257142,2252,33,431.222
2019_05_30_18_20_54,1,0001,0001,9,750.667,1.66667,4.44444,53,6,1,3.25628,0,0.849332,2252,33,415.222
2019_05_30_18_20_54,1,0001,0001,10,759.063,1.5,4.8125,101,6,1,3.23577,0,0.501975,2252,33,434.5
2019_05_30_18_20_54,1,0001,0001,11,827.75,2.625,9.25,47,6,1,3.10996,0,1.65116,2252,33,426.25
2019_05_30_18_20_54,1,0001,0001,12,822.706,2.17647,9.11765,107,6,1,3.15748,0,1.0743,2252,33,381.529
2019_05_30_18_20_54,1,0001,0001,13,851.5,3,10.875,47,6,1,3.12307,0,1.24712,2252,33,425.125
2019_05_30_18_20_54,1,0001,0001,14,866.222,3,11.6667,54,6,1,3.11105,0,0.769019,2252,33,453.778
2019_05_30_18_20_54,1,0001,0001,15,1078.33,5.44444,25,53,6,1,3.08696,0,5.55634,2252,33,356.222
2019_05_30_18_20_54,1,0001,0001,16,1087.92,6.07692,25.6923,81,6,1,3.09609,0,2.18552,2252,33,447.308
2019_05_30_18_20_54,1,0001,0001,17,1180.88,7,31.5,47,6,1,3.09615,0,2.21843,2252,33,445.5
2019_05_30_18_20_54,1,0001,0001,18,1195.53,7,32.2667,94,6,1,3.18827,0,0.62912,2252,33,467.4
2019_05_30_18_20_54,1,0001,0001,19,1227.33,2.33333,10.7778,54,6,1,3.19755,0,1.09894,2252,33,434.111
2019_05_30_18_20_54,1,0001,0001,20,1697.38,0,0,47,6,1,2.91244,0,12.9825,2252,33,726
2019_05_30_18_20_54,1,0001,0001,21,1683.75,0,0,48,6,1,2.86806,0,0.916085,2252,33,761.875
2019_05_30_18_20_54,1,0001,0001,22,1716.33,0,0,54,6,1,2.8864,0,0.794422,2252,33,755.111
2019_05_30_18_20_54,1,0001,0001,23,1624.75,0,0,47,6,1,3.13644,0,2.33398,2252,33,720.75
2019_05_30_18_20_54,1,0001,0001,24,1673.89,0,0,54,6,1,3.08297,0,1.29534,2252,33,743.778
2019_05_30_18_20_54,1,0001,0001,25,1630.13,0,0,47,6,1,3.15761,0,1.0711,2252,33,733.875
2019_05_30_18_20_54,1,0001,0001,26,1658.69,0,0,80,6,1,3.09702,0,0.703766,2252,33,741.154
2019_05_30_18_20_54,1,0001,0001,27,1613.5,0,0,60,6,1,3.2474,0,1.26708,2252,33,769
2019_05_30_18_20_54,1,0001,0001,28,1647.64,0,0,161,6,1,3.23383,0,0.875868,2252,33,755.56
2019_05_30_18_20_54,1,0001,0001,29,1663.2,0,0,60,6,1,3.19122,0,0.549473,2252,33,738.6
2019_05_30_18_20_54,1,0001,0001,30,1608.69,0,0,80,6,1,3.21168,0,1.31717,2252,33,730
2019_05_30_18_20_54,1,0001,0001,31,1655.56,0,0,53,6,1,3.11675,0,1.16675,2252,33,743.889
2019_05_30_18_20_54,1,0001,0001,32,1607,0,0,47,6,1,3.05085,0,1.24887,2252,33,763.375
2019_05_30_18_20_54,1,0001,0001,33,1707.4,0,0,128,6,1,3.12926,0,2.43485,2252,33,745.1
2019_05_30_18_20_54,1,0002,0002,1,636.75,0,0,74,7,0,2.94617,0,0,1552,18,462.833
2019_05_30_18_20_54,1,0002,0002,2,688.556,0.944444,2.22222,114,7,0,2.97567,0,1.90992,1552,18,401.833
2019_05_30_18_20_54,1,0002,0002,3,770.214,2.78571,7.14286,87,7,0,2.98758,0,1.96559,1552,18,391.071
2019_05_30_18_20_54,1,0002,0002,4,784.417,2.83333,8.08333,74,7,0,2.94586,0,0.991064,1552,18,430.083
2019_05_30_18_20_54,1,0002,0002,5,727.846,2,4.69231,81,7,0,2.88092,0,1.38343,1552,18,442.692
2019_05_30_18_20_54,1,0002,0002,6,707.929,1.28571,3.28571,86,7,0,2.87548,0,1.04337,1552,18,403.786
2019_05_30_18_20_54,1,0002,0002,7,826.083,3,10.5833,74,7,0,2.85235,0,2.82402,1552,18,411.167
2019_05_30_18_20_54,1,0002,0002,8,822.667,3,10.4444,53,7,0,2.73417,0,0.350485,1552,18,425.444
2019_05_30_18_20_54,1,0002,0002,9,946.593,5,18.1852,174,7,0,2.80685,0,2.9665,1552,18,414.963
2019_05_30_18_20_54,1,0002,0002,10,980.875,5.25,20.25,46,7,0,2.84325,0,0.827803,1552,18,409.75
2019_05_30_18_20_54,1,0002,0002,11,995.714,5,21.3571,87,7,0,2.90286,0,0.355823,1552,18,408.357
2019_05_30_18_20_54,1,0002,0002,12,1083.8,6,26.8667,94,7,0,2.90807,0,2.17067,1552,18,431.067
2019_05_30_18_20_54,1,0002,0002,13,1101,6,27.8889,54,7,0,2.78364,0,0.452195,1552,18,439
2019_05_30_18_20_54,1,0002,0002,14,1089.67,6,27.0833,73,7,0,2.8224,0,1.18503,1552,18,390.667
2019_05_30_18_20_54,1,0002,0002,15,1217.05,8,35.1364,141,7,0,2.81752,0,3.13782,1552,18,423.591
2019_05_30_18_20_54,1,0002,0002,16,1208.78,8,34.4444,53,7,0,2.88691,0,0.927523,1552,18,461.556
2019_05_30_18_20_54,1,0002,0002,17,1213.25,8,34.75,47,7,0,2.86974,0,0.534651,1552,18,483.5
2019_05_30_18_20_54,1,0002,0002,18,1727.05,0,0,140,7,0,2.9083,0,13.8732,1552,18,779.045
2019_05_30_18_20_54,1,0002,0002,1,655.444,0,0,54,7,1,3.19144,0,0,1478,17,473.556
2019_05_30_18_20_54,1,0002,0002,2,681.5,0.8,1.3,60,7,1,3.26958,0,1.61518,1478,17,411.1
2019_05_30_18_20_54,1,0002,0002,3,714.556,1.66667,3.88889,53,7,1,3.18868,0,0.84215,1478,17,398.778
2019_05_30_18_20_54,1,0002,0002,4,740.563,2,5.3125,100,7,1,3.06193,0,1.46369,1478,17,454.313
2019_05_30_18_20_54,1,0002,0002,5,671.25,0.583333,1.08333,73,7,1,3.04415,0,1.79528,1478,17,425.083
2019_05_30_18_20_54,1,0002,0002,6,729,1.75,4.58333,73,7,1,3.08723,0,1.55602,1478,17,394.833
2019_05_30_18_20_54,1,0002,0002,7,829,3,10.8095,134,7,1,3.05052,0,2.50835,1478,17,427.286
2019_05_30_18_20_54,1,0002,0002,8,914.778,4.66667,16.2222,54,7,1,3.12937,0,2.06353,1478,17,438.222
2019_05_30_18_20_54,1,0002,0002,9,948.2,5,18.1429,227,7,1,3.06758,0,1.32313,1478,17,394
2019_05_30_18_20_54,1,0002,0002,10,983.75,5,20.5,47,7,1,3.00415,0,1.50348,1478,17,446
2019_05_30_18_20_54,1,0002,0002,11,1015,5.66667,22.5556,53,7,1,3.03978,0,0.790001,1478,17,456.889
2019_05_30_18_20_54,1,0002,0002,12,1072.17,6,26,114,7,1,3.01604,0,1.56627,1478,17,424.667
2019_05_30_18_20_54,1,0002,0002,13,1090.54,6,27.2308,81,7,1,2.93094,0,0.469791,1478,17,417.615
2019_05_30_18_20_54,1,0002,0002,14,1219.59,8,35.1818,141,7,1,2.98897,0,3.34465,1478,17,472.545
2019_05_30_18_20_54,1,0002,0002,15,1233.38,7.5,33.6875,100,7,1,3.07579,0,0.528624,1478,17,489.875
2019_05_30_18_20_54,1,0002,0002,16,1725.8,0,0,61,7,1,2.78415,0,13.3907,1478,17,779.6
2019_05_30_18_20_54,1,0002,0002,17,1713.78,0,0,53,7,1,2.78402,0,0.414231,1478,17,792.111
2019_05_30_18_20_54,1,0003,0003,1,767.615,1,2.92308,81,5,0,2.65271,0,0,2992,37,376.923
2019_05_30_18_20_54,1,0003,0003,2,739.929,1,1.21429,88,5,0,2.66242,0,0.661667,2992,37,375.643
2019_05_30_18_20_54,1,0003,0003,3,852.818,1.54545,8.36364,67,5,0,2.66325,0,3.05938,2992,37,436.545
2019_05_30_18_20_54,1,0003,0003,4,838.778,1.44444,7.44444,54,5,0,2.66047,0,1.072,2992,37,393.889
2019_05_30_18_20_54,1,0003,0003,5,875.75,2,9.625,47,5,0,2.66717,0,0.931775,2992,37,381.375
2019_05_30_18_20_54,1,0003,0003,6,893.125,2.0625,10.6875,100,5,0,2.75279,0,0.803205,2992,37,410.188
2019_05_30_18_20_54,1,0003,0003,7,893.727,2,10.8182,67,5,0,2.80954,0,0.631845,2992,37,383.727
2019_05_30_18_20_54,1,0003,0003,8,971.615,3.84615,16,80,5,0,2.77521,0,1.87952,2992,37,395.385
2019_05_30_18_20_54,1,0003,0003,9,999.105,4,17.4737,247,5,0,2.72303,0,0.940015,2992,37,423.579
2019_05_30_18_20_54,1,0003,0003,10,1136.7,6,26.1,61,5,0,2.84709,0,3.29541,2992,37,410.8
2019_05_30_18_20_54,1,0003,0003,11,1117.17,6,24.75,74,5,0,2.87278,0,0.712209,2992,37,388.25
2019_05_30_18_20_54,1,0003,0003,12,1130.92,6,25.6154,80,5,0,2.86656,0,0.509684,2992,37,371.923
2019_05_30_18_20_54,1,0003,0003,13,1188.05,4.36364,21,141,5,0,2.85104,0,1.38304,2992,37,381.636
2019_05_30_18_20_54,1,0003,0003,14,1191.05,3.47368,16.7895,120,5,0,2.85815,0,1.57554,2992,37,447.579
2019_05_30_18_20_54,1,0003,0003,15,1621.22,0,0,54,5,0,2.91636,0,11.3837,2992,37,667.667
2019_05_30_18_20_54,1,0003,0003,16,1679.33,0,0,53,5,0,2.91058,0,1.38732,2992,37,666.556
2019_05_30_18_20_54,1,0003,0003,17,1631.62,0,0,80,5,0,2.94274,0,1.29957,2992,37,692.769
2019_05_30_18_20_54,1,0003,0003,18,1648.67,0,0,74,5,0,2.97375,0,1.20051,2992,37,740.083
2019_05_30_18_20_54,1,0003,0003,19,1607,0,0,47,5,0,2.95489,0,1.18139,2992,37,713.375
2019_05_30_18_20_54,1,0003,0003,20,1611.67,0,0,54,5,0,2.96398,0,1.23402,2992,37,661.889
2019_05_30_18_20_54,1,0003,0003,21,1615.71,0,0,134,5,0,2.98868,0,0.110238,2992,37,659.667
2019_05_30_18_20_54,1,0003,0003,22,1626.1,0,0,60,5,0,2.99294,0,1.47301,2992,37,720.5
2019_05_30_18_20_54,1,0003,0003,23,1614.27,0,0,67,5,0,2.97383,0,0.827663,2992,37,687.909
2019_05_30_18_20_54,1,0003,0003,24,1626,0,0,147,5,0,2.9392,0,0.699016,2992,37,714.739
2019_05_30_18_20_54,1,0003,0003,25,1647,0,0,53,5,0,2.8775,0,0.845427,2992,37,686.222
2019_05_30_18_20_54,1,0003,0003,26,1639.25,0,0,74,5,0,2.92449,0,0.732627,2992,37,715.917
2019_05_30_18_20_54,1,0003,0003,27,1603.22,0,0,53,5,0,2.91744,0,0.89752,2992,37,726.667
2019_05_30_18_20_54,1,0003,0003,28,1609.88,0,0,100,5,0,2.92722,0,0.760785,2992,37,695.5
2019_05_30_18_20_54,1,0003,0003,29,1633.6,0,0,60,5,0,2.9249,0,0.671365,2992,37,710.6
2019_05_30_18_20_54,1,0003,0003,30,1625.5,0,0,47,5,0,2.95973,0,0.54514,2992,37,689.25
2019_05_30_18_20_54,1,0003,0003,31,1625.3,0,0,147,5,0,3.00146,0,1.2882,2992,37,743.217
2019_05_30_18_20_54,1,0003,0003,32,1605.78,0,0,53,5,0,2.96318,0,1.04816,2992,37,703.889
2019_05_30_18_20_54,1,0003,0003,33,1660.91,0,0,67,5,0,2.96274,0,1.35707,2992,37,690
2019_05_30_18_20_54,1,0003,0003,34,1666.56,0,0,54,5,0,2.97519,0,0.822771,2992,37,724
2019_05_30_18_20_54,1,0003,0003,35,1691.93,0,0,87,5,0,2.97817,0,0.606074,2992,37,724.857
2019_05_30_18_20_54,1,0003,0003,36,1634.88,0,0,47,5,0,2.89625,0,1.38318,2992,37,735
2019_05_30_18_20_54,1,0003,0003,37,1601.92,0,0,73,5,0,2.87489,0,1.00581,2992,37,761.25
2019_05_30_18_20_54,1,0003,0003,1,742.556,0.777778,1.44444,53,5,1,2.83271,0,0,2918,32,418
2019_05_30_18_20_54,1,0003,0003,2,707.667,0,0,114,5,1,2.89541,0,0.874083,2918,32,429.111
2019_05_30_18_20_54,1,0003,0003,3,806,1,5.5,88,5,1,2.87006,0,2.44725,2918,32,458.286
2019_05_30_18_20_54,1,0003,0003,4,869,2,9.36364,67,5,1,2.8704,0,1.6609,2918,32,428.727
2019_05_30_18_20_54,1,0003,0003,5,882.778,2,10.2222,54,5,1,2.86167,0,0.420144,2918,32,417.778
2019_05_30_18_20_54,1,0003,0003,6,902.375,2.375,11.3333,153,5,1,2.92383,0,0.715815,2918,32,395.083
2019_05_30_18_20_54,1,0003,0003,7,959.615,4,15.0769,80,5,1,2.92393,0,1.40834,2918,32,380.769
2019_05_30_18_20_54,1,0003,0003,8,935.042,3.375,13.375,154,5,1,2.91995,0,1.45016,2918,32,436.333
2019_05_30_18_20_54,1,0003,0003,9,948,3.83333,14.3333,73,5,1,2.96937,0,0.340083,2918,32,442.25
2019_05_30_18_20_54,1,0003,0003,10,1118.69,5.875,24.875,101,5,1,2.92482,0,4.06919,2918,32,438.313
2019_05_30_18_20_54,1,0003,0003,11,1132,6,25.7273,141,5,1,2.91749,0,1.15236,2918,32,391.909
2019_05_30_18_20_54,1,0003,0003,12,1203,0.315789,1.42105,121,5,1,3.02651,0,2.02691,2918,32,438.526
2019_05_30_18_20_54,1,0003,0003,13,1194,1.84615,8.92308,81,5,1,3.09198,0,0.612182,2918,32,462.538
2019_05_30_18_20_54,1,0003,0003,14,1127.63,6,25.625,46,5,1,2.99096,0,1.59407,2918,32,455.125
2019_05_30_18_20_54,1,0003,0003,15,1646.56,0,0,54,5,1,2.95755,0,13.7518,2918,32,730.222
2019_05_30_18_20_54,1,0003,0003,16,1682,0,0,53,5,1,2.84054,0,1.37983,2918,32,684.556
2019_05_30_18_20_54,1,0003,0003,17,1659.38,0,0,80,5,1,2.85233,0,0.73026,2918,32,705.154
2019_05_30_18_20_54,1,0003,0003,18,1598.7,0,0,60,5,1,2.92515,0,1.5045,2918,32,722.2
2019_05_30_18_20_54,1,0003,0003,19,1683.48,0,0,187,5,1,2.98484,0,2.03773,2918,32,712.034
2019_05_30_18_20_54,1,0003,0003,20,1567.36,0,0,67,5,1,3.00197,0,3.15554,2918,32,775.455
2019_05_30_18_20_54,1,0003,0003,21,1688.88,0,0,47,5,1,2.99086,0,3.1091,2918,32,728.25
2019_05_30_18_20_54,1,0003,0003,22,1694.12,0,0,167,5,1,2.91571,0,0.366784,2918,32,713.808
2019_05_30_18_20_54,1,0003,0003,23,1628,0,0,54,5,1,2.93263,0,1.58071,2918,32,717.667
2019_05_30_18_20_54,1,0003,0003,24,1615.83,0,0,74,5,1,2.9207,0,0.605399,2918,32,695.417
2019_05_30_18_20_54,1,0003,0003,25,1620.64,0,0,67,5,1,2.92988,0,0.966929,2918,32,735.636
2019_05_30_18_20_54,1,0003,0003,26,1593.89,0,0,120,5,1,3.04506,0,1.07042,2918,32,771.632
2019_05_30_18_20_54,1,0003,0003,27,1673.22,0,0,54,5,1,3.05088,0,2.19979,2918,32,724.667
2019_05_30_18_20_54,1,0003,0003,28,1571.77,0,0,80,5,1,3.09287,0,2.65549,2918,32,770.462
2019_05_30_18_20_54,1,0003,0003,29,1638.13,0,0,47,5,1,3.05265,0,1.66358,2918,32,749.125
2019_05_30_18_20_54,1,0003,0003,30,1682.94,0,0,100,5,1,3.04584,0,1.72579,2918,32,692.375
2019_05_30_18_20_54,1,0003,0003,31,1646.22,0,0,234,5,1,3.04405,0,0.962939,2918,32,709.083
2019_05_30_18_20_54,1,0003,0003,32,1627.88,0,0,47,5,1,3.01766,0,0.572104,2918,32,724.5
2019_05_30_18_20_54,1,0004,0004,1,661.263,0.421053,0.421053,120,8,0,2.63283,0,0,1608,20,383.526
2019_05_30_18_20_54,1,0004,0004,2,691.727,0.818182,1.72727,67,8,0,2.64079,0,1.29931,1608,20,428.636
2019_05_30_18_20_54,1,0004,0004,3,743,1.69231,4.92308,80,8,0,2.70646,0,1.49141,1608,20,392.923
2019_05_30_18_20_54,1,0004,0004,4,755.5,2,5.78571,88,8,0,2.65078,0,1.06718,1608,20,350
2019_05_30_18_20_54,1,0004,0004,5,748.412,1.94118,5.23529,108,8,0,2.63978,0,1.25967,1608,20,402.294
2019_05_30_18_20_54,1,0004,0004,6,797.3,2.7,8.6,61,8,0,2.64533,0,1.17755,1608,20,395.7
2019_05_30_18_20_54,1,0004,0004,7,836.423,3,10.7692,167,8,0,2.69887,0,1.03472,1608,20,377.038
2019_05_30_18_20_54,1,0004,0004,8,858.889,3,12.2222,54,8,0,2.7196,0,2.12275,1608,20,463.111
2019_05_30_18_20_54,1,0004,0004,9,874.786,3,13,88,8,0,2.78369,0,0.696576,1608,20,438.643
2019_05_30_18_20_54,1,0004,0004,10,968.5,4.9,19.2,60,8,0,2.80135,0,2.37737,1608,20,404.8
2019_05_30_18_20_54,1,0004,0004,11,935.625,4.25,17.125,46,8,0,2.75275,0,1.08768,1608,20,373.25
2019_05_30_18_20_54,1,0004,0004,12,946.25,4.875,17.875,47,8,0,2.80011,0,0.424351,1608,20,387.5
2019_05_30_18_20_54,1,0004,0004,13,1005.92,5.08333,21.4167,74,8,0,2.77442,0,2.34952,1608,20,465.833
2019_05_30_18_20_54,1,0004,0004,14,955.313,4.9375,18.4375,100,8,0,2.75755,0,2.1237,1608,20,392.625
2019_05_30_18_20_54,1,0004,0004,15,1138.88,8,29.75,47,8,0,2.75765,0,4.39166,1608,20,409.25
2019_05_30_18_20_54,1,0004,0004,16,1138,8.4,29.8,60,8,0,2.80334,0,0.450497,1608,20,428.1
2019_05_30_18_20_54,1,0004,0004,17,1093.67,6.90476,26.8095,134,8,0,2.82324,0,1.99667,1608,20,357.143
2019_05_30_18_20_54,1,0004,0004,18,1149.78,9,30.3333,53,8,0,2.82579,0,1.34065,1608,20,354.667
2019_05_30_18_20_54,1,0004,0004,19,1246.82,4.23529,16.7647,108,8,0,2.8483,0,2.66369,1608,20,409.882
2019_05_30_18_20_54,1,0004,0004,20,1212.63,9,34.375,46,8,0,2.84799,0,0.918341,1608,20,427.5
2019_05_30_18_20_54,1,0004,0004,1,692.875,0.875,1.875,46,8,1,2.96567,0,0,1632,21,464.25
2019_05_30_18_20_54,1,0004,0004,2,685.824,0.941176,1.29412,107,8,1,2.94046,0,0.9271,1632,21,426.059
2019_05_30_18_20_54,1,0004,0004,3,651.875,0.125,0.125,47,8,1,2.93317,0,1.1086,1632,21,457.75
2019_05_30_18_20_54,1,0004,0004,4,756.25,1.875,5.625,47,8,1,2.95166,0,2.84116,1632,21,400.375
2019_05_30_18_20_54,1,0004,0004,5,790.833,2.08333,7.75,73,8,1,2.79865,0,1.37606,1632,21,354.25
2019_05_30_18_20_54,1,0004,0004,6,804.25,2.75,9,47,8,1,2.78554,0,0.828335,1632,21,386.25
2019_05_30_18_20_54,1,0004,0004,7,775.222,2.11111,6.88889,54,8,1,2.84759,0,1.52379,1632,21,443.111
2019_05_30_18_20_54,1,0004,0004,8,770.5,2,6.625,47,8,1,2.87498,0,0.113067,1632,21,442.75
2019_05_30_18_20_54,1,0004,0004,9,733.75,1.66667,4.58333,74,8,1,2.95917,0,0.918058,1632,21,431.417
2019_05_30_18_20_54,1,0004,0004,10,850.905,3,11.5714,134,8,1,2.95578,0,3.09251,1632,21,375.857
2019_05_30_18_20_54,1,0004,0004,11,821.727,2.90909,9.90909,67,8,1,2.9023,0,0.756976,1632,21,388.273
2019_05_30_18_20_54,1,0004,0004,12,811.824,2.88235,9.29412,107,8,1,2.91168,0,1.12783,1632,21,434.471
2019_05_30_18_20_54,1,0004,0004,13,910.4,3.75,15.45,127,8,1,2.96403,0,2.36554,1632,21,423.9
2019_05_30_18_20_54,1,0004,0004,14,925.154,4,16.3846,80,8,1,2.84317,0,0.511133,1632,21,408.385
2019_05_30_18_20_54,1,0004,0004,15,910.583,3.58333,15.6667,73,8,1,2.86994,0,1.51702,1632,21,470.25
2019_05_30_18_20_54,1,0004,0004,16,958.786,4.78571,18.3571,87,8,1,2.89839,0,1.88702,1632,21,407.571
2019_05_30_18_20_54,1,0004,0004,17,1104.4,7,27.6,60,8,1,2.89299,0,3.47662,1632,21,415
2019_05_30_18_20_54,1,0004,0004,18,1135.08,7.72,29.44,160,8,1,2.86794,0,1.14441,1632,21,378.16
2019_05_30_18_20_54,1,0004,0004,19,1238.88,3.375,12.375,47,8,1,2.99985,0,2.47964,1632,21,372.875
2019_05_30_18_20_54,1,0004,0004,20,1260.75,0,0,101,8,1,3.03219,0,1.73468,1632,21,442.188
2019_05_30_18_20_54,1,0004,0004,21,1653.38,0,0,47,8,1,2.80165,0,11.9004,1632,21,761
2019_05_30_18_20_54,1,0005,0005,1,599.9,0.9,2,61,8,0,2.86846,0,0,1945,23,411.3
2019_05_30_18_20_54,1,0005,0005,2,603.5,1,2.375,47,8,0,2.83681,0,0.918319,1945,23,373
2019_05_30_18_20_54,1,0005,0005,3,599.909,0.818182,2,67,8,0,2.82939,0,0.770868,1945,23,405.091
2019_05_30_18_20_54,1,0005,0005,4,628.96,1,3.92,160,8,0,2.79026,0,0.922619,1945,23,379.6
2019_05_30_18_20_54,1,0005,0005,5,596.625,0.75,1.625,47,8,0,2.85165,0,1.32801,1945,23,424.875
2019_05_30_18_20_54,1,0005,0005,6,666.111,1,6,54,8,0,2.87311,0,2.02922,1945,23,473.889
2019_05_30_18_20_54,1,0005,0005,7,648.364,1,5.04545,140,8,0,2.8139,0,0.867415,1945,23,442.182
2019_05_30_18_20_54,1,0005,0005,8,760.769,1.92308,12.0769,80,8,0,2.91797,0,2.7267,1945,23,421.462
2019_05_30_18_20_54,1,0005,0005,9,781.5,2,13.25,74,8,0,2.882,0,0.700974,1945,23,400.667
2019_05_30_18_20_54,1,0005,0005,10,787,2,13.9167,74,8,0,2.87409,0,1.06837,1945,23,356.25
2019_05_30_18_20_54,1,0005,0005,11,905.947,4,21.0526,120,8,0,2.88928,0,3.40722,1945,23,435.421
2019_05_30_18_20_54,1,0005,0005,12,877.6,4,19.6,94,8,0,2.86574,0,1.3024,1945,23,388.8
2019_05_30_18_20_54,1,0005,0005,13,956.4,4.4,24.2,61,8,0,2.89,0,2.33603,1945,23,446.9
2019_05_30_18_20_54,1,0005,0005,14,989.826,5,26.2174,148,8,0,2.92103,0,0.870951,1945,23,461.522
2019_05_30_18_20_54,1,0005,0005,15,1106.64,6.90909,33.6364,67,8,0,2.94372,0,2.79043,1945,23,467.727
2019_05_30_18_20_54,1,0005,0005,16,1116.29,7,34.0714,87,8,0,2.93757,0,1.38189,1945,23,410.643
2019_05_30_18_20_54,1,0005,0005,17,1233.5,9,41.75,74,8,0,2.94727,0,3.01459,1945,23,457.917
2019_05_30_18_20_54,1,0005,0005,18,1254.06,9,42.6875,100,8,0,2.99629,0,1.06258,1945,23,418.438
2019_05_30_18_20_54,1,0005,0005,19,1225.75,9,41.3333,74,8,0,2.98333,0,1.15403,1945,23,379.25
2019_05_30_18_20_54,1,0005,0005,20,1345.43,1.92857,9.64286,87,8,0,3.03448,0,3.37296,1945,23,454.643
